"","location","date","new_cases","people_vaccinated","population"
"69","Bahrain",2021-01-17,339,141563,1701583
"492","Greece",2021-01-22,562,141298,10423056
"903","Romania",2021-01-12,3697,140447,19237682
"844","Poland",2021-01-05,7596,140226,37846605
"1023","Spain",2021-01-05,23700,139339,46754783
"508","Hungary",2021-01-21,1410,138983,9660350
"545","Israel",2020-12-23,2535,138674,8655541
"380","Finland",2021-01-29,363,137551,5540718
"808","Norway",2021-02-03,286,137184,5421242
"68","Bahrain",2021-01-16,248,137159,1701583
"32","Austria",2021-01-25,1009,137044,9006400
"128","Brazil",2021-01-21,59119,136519,212559409
"31","Austria",2021-01-24,1202,135249,9006400
"507","Hungary",2021-01-20,976,134554,9660350
"975","Slovakia",2021-01-31,1723,133801,5459643
"974","Slovakia",2021-01-30,2182,133562,5459643
"300","Denmark",2021-01-13,1359,132707,5792203
"973","Slovakia",2021-01-29,2581,132581,5459643
"264","Czechia",2021-01-18,2693,132429,10708982
"30","Austria",2021-01-23,1626,132105,9006400
"105","Belgium",2021-01-18,932,132006,11589616
"506","Hungary",2021-01-19,573,130318,9660350
"505","Hungary",2021-01-18,875,129689,9660350
"210","Chile",2021-02-03,2610,128287,19116209
"379","Finland",2021-01-28,423,127783,5540718
"402","France",2021-01-11,3816,125412,65273512
"902","Romania",2021-01-11,1987,125190,19237682
"491","Greece",2021-01-21,506,123667,10423056
"597","Italy",2021-01-03,14245,123216,60461828
"972","Slovakia",2021-01-28,2035,123115,5459643
"67","Bahrain",2021-01-15,208,122819,1701583
"104","Belgium",2021-01-17,1630,121701,11589616
"29","Austria",2021-01-22,2088,121216,9006400
"263","Czechia",2021-01-17,5253,120447,10708982
"299","Denmark",2021-01-12,1076,119987,5792203
"298","Denmark",2021-01-11,1239,119526,5792203
"297","Denmark",2021-01-10,1246,118867,5792203
"103","Belgium",2021-01-16,2120,118570,11589616
"296","Denmark",2021-01-09,1745,118051,5792203
"262","Czechia",2021-01-16,9301,118032,10708982
"378","Finland",2021-01-27,496,117555,5540718
"295","Denmark",2021-01-08,1663,116143,5792203
"1049","Sweden",2021-01-17,0,115476,10099270
"971","Slovakia",2021-01-27,2775,115425,5459643
"261","Czechia",2021-01-15,8083,114721,10708982
"807","Norway",2021-02-02,291,113623,5421242
"102","Belgium",2021-01-15,2203,113592,11589616
"946","Singapore",2021-01-27,25,113000,5850343
"377","Finland",2021-01-26,348,110047,5540718
"66","Bahrain",2021-01-14,342,109566,1701583
"970","Slovakia",2021-01-26,1590,109042,5459643
"901","Romania",2021-01-10,3082,108294,19237682
"490","Greece",2021-01-20,511,108167,10423056
"806","Norway",2021-02-01,296,107568,5421242
"294","Denmark",2021-01-07,1844,107554,5792203
"805","Norway",2021-01-31,173,107409,5421242
"804","Norway",2021-01-30,218,107329,5421242
"803","Norway",2021-01-29,299,107200,5421242
"376","Finland",2021-01-25,192,106098,5540718
"882","Portugal",2021-01-15,10663,106000,10196707
"28","Austria",2021-01-21,1702,105038,9006400
"802","Norway",2021-01-28,315,103546,5421242
"969","Slovakia",2021-01-25,551,102683,5459643
"900","Romania",2021-01-09,4403,102301,19237682
"65","Bahrain",2021-01-13,275,101363,1701583
"260","Czechia",2021-01-14,10922,101095,10708982
"64","Bahrain",2021-01-12,316,97776,1701583
"967","Slovakia",2021-01-23,1544,96697,5459643
"968","Slovakia",2021-01-24,1905,96697,5459643
"966","Slovakia",2021-01-22,1785,96421,5459643
"489","Greece",2021-01-19,537,93382,10423056
"801","Norway",2021-01-27,367,92913,5421242
"745","Mexico",2021-01-12,14395,92879,128932753
"899","Romania",2021-01-08,4841,92706,19237682
"63","Bahrain",2021-01-11,321,92598,1701583
"843","Poland",2021-01-04,4385,92220,37846605
"401","France",2021-01-10,15944,91629,65273512
"101","Belgium",2021-01-14,2637,91101,11589616
"965","Slovakia",2021-01-21,2464,90284,5459643
"293","Denmark",2021-01-06,2230,89738,5792203
"62","Bahrain",2021-01-10,241,89250,1701583
"336","European Union",2020-12-28,82169,88496,NA
"596","Italy",2021-01-02,11825,88176,60461828
"429","Germany",2020-12-29,19466,87148,83783945
"744","Mexico",2021-01-11,7594,87060,128932753
"27","Austria",2021-01-20,1671,86888,9006400
"400","France",2021-01-09,20177,86315,65273512
"259","Czechia",2021-01-13,10801,86133,10708982
"1082","United Kingdom",2020-12-13,18541,86095,67886004
"488","Greece",2021-01-18,318,85475,10423056
"61","Bahrain",2021-01-09,287,84157,1701583
"964","Slovakia",2021-01-20,2484,84057,5459643
"1022","Spain",2021-01-04,30579,82834,46754783
"800","Norway",2021-01-26,279,81807,5421242
"743","Mexico",2021-01-10,10003,81300,128932753
"487","Greece",2021-01-16,510,80389,10423056
"799","Norway",2021-01-25,233,79595,5421242
"798","Norway",2021-01-24,279,79020,5421242
"797","Norway",2021-01-23,238,78955,5421242
"796","Norway",2021-01-22,306,78602,5421242
"700","Lithuania",2021-02-05,653,78451,2722291
"60","Bahrain",2021-01-08,397,78291,1701583
"963","Slovakia",2021-01-19,1909,77624,5459643
"699","Lithuania",2021-02-04,740,77562,2722291
"180","Canada",2021-01-02,4535,77521,37742157
"544","Israel",2020-12-22,4228,76485,8655541
"898","Romania",2021-01-07,4951,76400,19237682
"698","Lithuania",2021-02-03,764,76054,2722291
"399","France",2021-01-08,41373,76022,65273512
"486","Greece",2021-01-15,577,75412,10423056
"795","Norway",2021-01-21,372,75353,5421242
"742","Mexico",2021-01-09,16105,74794,128932753
"697","Lithuania",2021-02-02,546,74441,2722291
"696","Lithuania",2021-02-01,355,72846,2722291
"258","Czechia",2021-01-12,9345,72693,10708982
"59","Bahrain",2021-01-07,349,72239,1701583
"695","Lithuania",2021-01-31,803,71794,2722291
"694","Lithuania",2021-01-30,721,71786,2722291
"693","Lithuania",2021-01-29,859,71593,2722291
"962","Slovakia",2021-01-18,1060,71035,5459643
"485","Greece",2021-01-14,595,70960,10423056
"26","Austria",2021-01-19,1486,70474,9006400
"881","Portugal",2021-01-08,10176,70000,10196707
"292","Denmark",2021-01-05,1997,69586,5792203
"692","Lithuania",2021-01-28,943,68633,2722291
"100","Belgium",2021-01-13,2927,68565,11589616
"58","Bahrain",2021-01-06,289,68472,1701583
"741","Mexico",2021-01-08,14362,67468,128932753
"794","Norway",2021-01-20,431,67064,5421242
"209","Chile",2021-02-02,3147,67002,19116209
"691","Lithuania",2021-01-27,1283,65257,2722291
"484","Greece",2021-01-13,668,64932,10423056
"57","Bahrain",2021-01-05,229,63893,1701583
"961","Slovakia",2021-01-17,573,62634,5459643
"960","Slovakia",2021-01-16,2045,62580,5459643
"56","Bahrain",2021-01-04,288,61612,1701583
"690","Lithuania",2021-01-26,691,61425,2722291
"959","Slovakia",2021-01-15,2729,61372,5459643
"25","Austria",2021-01-18,1161,60708,9006400
"55","Bahrain",2021-01-03,294,60689,1701583
"54","Bahrain",2021-01-02,271,60097,1701583
"945","Singapore",2021-01-22,15,60000,5850343
"239","Croatia",2021-02-04,516,59593,4105268
"257","Czechia",2021-01-11,4289,59354,10708982
"53","Bahrain",2021-01-01,238,59351,1701583
"238","Croatia",2021-02-03,730,59064,4105268
"689","Lithuania",2021-01-25,541,58958,2722291
"688","Lithuania",2021-01-23,1007,58921,2722291
"687","Lithuania",2021-01-22,1033,58913,2722291
"237","Croatia",2021-02-01,94,58829,4105268
"52","Bahrain",2020-12-31,250,58643,1701583
"686","Lithuania",2021-01-21,1277,58627,2722291
"897","Romania",2021-01-06,5719,58554,19237682
"740","Mexico",2021-01-07,13734,58402,128932753
"236","Croatia",2021-01-25,134,58077,4105268
"685","Lithuania",2021-01-20,1232,57763,2722291
"51","Bahrain",2020-12-30,256,57317,1701583
"793","Norway",2021-01-19,422,57112,5421242
"208","Chile",2021-01-30,4151,56771,19116209
"207","Chile",2021-01-29,4606,56768,19116209
"205","Chile",2021-01-27,3388,56764,19116209
"206","Chile",2021-01-28,4255,56764,19116209
"204","Chile",2021-01-26,3322,56551,19116209
"483","Greece",2021-01-12,841,56475,10423056
"684","Lithuania",2021-01-19,867,56126,2722291
"50","Bahrain",2020-12-29,234,56041,1701583
"291","Denmark",2021-01-04,2078,55841,5792203
"203","Chile",2021-01-25,4068,55798,19116209
"202","Chile",2021-01-23,4581,55575,19116209
"24","Austria",2021-01-17,1267,55450,9006400
"49","Bahrain",2020-12-28,202,55014,1701583
"201","Chile",2021-01-22,4959,54683,19116209
"1021","Slovenia",2021-02-05,959,54556,2078932
"200","Chile",2021-01-21,4367,54458,19116209
"235","Croatia",2021-01-19,520,54304,4105268
"1020","Slovenia",2021-02-04,1239,54240,2078932
"958","Slovakia",2021-01-14,2923,53830,5459643
"683","Lithuania",2021-01-18,477,53765,2722291
"1019","Slovenia",2021-02-03,1615,53629,2078932
"48","Bahrain",2020-12-27,215,53614,1701583
"1018","Slovenia",2021-02-02,1650,53488,2078932
"1017","Slovenia",2021-02-01,363,53473,2078932
"1015","Slovenia",2021-01-30,1358,53460,2078932
"1016","Slovenia",2021-01-31,586,53460,2078932
"1014","Slovenia",2021-01-29,1294,53455,2078932
"290","Denmark",2021-01-03,1176,53384,5792203
"739","Mexico",2021-01-06,13345,53185,128932753
"1013","Slovenia",2021-01-28,1573,52925,2078932
"792","Norway",2021-01-18,383,52566,5421242
"1012","Slovenia",2021-01-27,1850,52434,2078932
"1011","Slovenia",2021-01-26,1681,52154,2078932
"1010","Slovenia",2021-01-25,301,52066,2078932
"1009","Slovenia",2021-01-24,537,52061,2078932
"1008","Slovenia",2021-01-23,1541,52045,2078932
"1007","Slovenia",2021-01-22,1446,51807,2078932
"47","Bahrain",2020-12-26,214,51556,1701583
"791","Norway",2021-01-17,206,51307,5421242
"790","Norway",2021-01-16,243,50963,5421242
"682","Lithuania",2021-01-17,842,50941,2722291
"681","Lithuania",2021-01-16,1234,50899,2722291
"842","Poland",2021-01-03,5782,50833,37846605
"1006","Slovenia",2021-01-21,1455,50568,2078932
"46","Bahrain",2020-12-25,234,50543,1701583
"23","Austria",2021-01-16,1723,50402,9006400
"841","Poland",2021-01-02,7006,50391,37846605
"789","Norway",2021-01-15,466,50230,5421242
"45","Bahrain",2020-12-24,253,50071,1701583
"482","Greece",2021-01-11,441,50045,10423056
"680","Lithuania",2021-01-15,1224,49810,2722291
"595","Italy",2021-01-01,22210,49750,60461828
"256","Czechia",2021-01-10,8449,49623,10708982
"1005","Slovenia",2021-01-20,1714,49218,2078932
"335","European Union",2020-12-27,61491,48799,NA
"738","Mexico",2021-01-05,11271,48236,128932753
"1004","Slovenia",2021-01-19,1713,48058,2078932
"99","Belgium",2021-01-12,2099,47982,11589616
"255","Czechia",2021-01-09,13115,47912,10708982
"840","Poland",2020-12-31,13464,47600,37846605
"1003","Slovenia",2021-01-18,299,47509,2078932
"1002","Slovenia",2021-01-17,569,47447,2078932
"1001","Slovenia",2021-01-16,1540,47443,2078932
"289","Denmark",2021-01-02,1615,47244,5792203
"1000","Slovenia",2021-01-15,1544,47120,2078932
"957","Slovakia",2021-01-13,3576,46243,5459643
"254","Czechia",2021-01-08,14861,45921,10708982
"234","Croatia",2021-01-16,763,45906,4105268
"224","Costa Rica",2021-02-01,1293,45863,5094114
"788","Norway",2021-01-14,454,45757,5421242
"223","Costa Rica",2021-01-25,1437,45707,5094114
"199","Chile",2021-01-20,3589,45676,19116209
"1048","Sweden",2021-01-10,0,45536,10099270
"481","Greece",2021-01-10,445,44645,10423056
"737","Mexico",2021-01-04,6464,43960,128932753
"428","Germany",2020-12-28,14004,43734,83783945
"398","France",2021-01-07,254,43282,65273512
"198","Chile",2021-01-19,3401,42564,19116209
"679","Lithuania",2021-01-14,1445,42556,2722291
"999","Slovenia",2021-01-14,1793,42368,2078932
"880","Portugal",2021-01-06,10027,42035,10196707
"896","Romania",2021-01-05,4729,41609,19237682
"233","Croatia",2021-01-15,715,41532,4105268
"480","Greece",2021-01-09,799,40427,10423056
"22","Austria",2021-01-15,1528,39751,9006400
"956","Slovakia",2021-01-12,2410,39735,5459643
"177","Bulgaria",2021-02-05,910,39468,6948445
"44","Bahrain",2020-12-23,183,38965,1701583
"594","Italy",2020-12-31,23477,38724,60461828
"288","Denmark",2021-01-01,2451,38175,5792203
"232","Croatia",2021-01-14,980,38000,4105268
"787","Norway",2021-01-13,667,37333,5421242
"942","Seychelles",2021-02-03,36,37087,98340
"176","Bulgaria",2021-02-04,883,36929,6948445
"839","Poland",2020-12-30,12780,36300,37846605
"941","Seychelles",2021-02-02,20,36284,98340
"253","Czechia",2021-01-07,17773,35988,10708982
"287","Denmark",2020-12-31,2254,35788,5792203
"998","Slovenia",2021-01-13,2092,35750,2078932
"479","Greece",2021-01-08,717,35272,10423056
"940","Seychelles",2021-02-01,18,35079,98340
"231","Croatia",2021-01-13,1135,34553,4105268
"678","Lithuania",2021-01-13,1764,33934,2722291
"334","Estonia",2021-02-05,591,33927,1326539
"179","Canada",2020-12-26,3114,33734,37742157
"175","Bulgaria",2021-02-03,719,33691,6948445
"98","Belgium",2021-01-11,960,32518,11589616
"543","Israel",2020-12-21,3499,32130,8655541
"879","Portugal",2021-01-03,3384,32000,10196707
"333","Estonia",2021-02-04,671,31864,1326539
"997","Slovenia",2021-01-12,1874,31131,2078932
"939","Seychelles",2021-01-29,13,30861,98340
"174","Bulgaria",2021-02-02,967,30817,6948445
"332","Estonia",2021-02-03,685,30158,1326539
"230","Croatia",2021-01-09,1401,30000,4105268
"286","Denmark",2020-12-30,2788,29446,5792203
"996","Slovenia",2021-01-11,432,29366,2078932
"21","Austria",2021-01-14,3510,29359,9006400
"222","Costa Rica",2021-01-18,1829,29257,5094114
"955","Slovakia",2021-01-11,860,29221,5459643
"173","Bulgaria",2021-02-01,832,28978,6948445
"331","Estonia",2021-02-02,403,28907,1326539
"995","Slovenia",2021-01-10,763,28882,2078932
"994","Slovenia",2021-01-09,1889,28881,2078932
"938","Seychelles",2021-01-28,20,28779,98340
"993","Slovenia",2021-01-08,2084,28633,2078932
"127","Brazil",2021-01-20,64385,28543,212559409
"330","Estonia",2021-02-01,367,28186,1326539
"252","Czechia",2021-01-06,17332,28065,10708982
"172","Bulgaria",2021-01-31,130,28041,6948445
"171","Bulgaria",2021-01-30,349,27957,6948445
"329","Estonia",2021-01-31,461,27900,1326539
"170","Bulgaria",2021-01-29,695,27856,6948445
"677","Lithuania",2021-01-12,1012,27788,2722291
"786","Norway",2021-01-12,712,27653,5421242
"328","Estonia",2021-01-30,404,27633,1326539
"97","Belgium",2021-01-10,1569,27067,11589616
"731","Malta",2021-02-05,57,27020,441539
"878","Portugal",2020-12-30,6049,26850,10196707
"169","Bulgaria",2021-01-28,560,26753,6948445
"96","Belgium",2021-01-09,1991,26671,11589616
"478","Greece",2021-01-07,510,26445,10423056
"327","Estonia",2021-01-29,687,26412,1326539
"730","Malta",2021-02-04,79,26223,441539
"676","Lithuania",2021-01-11,774,25703,2722291
"937","Seychelles",2021-01-27,13,25587,98340
"895","Romania",2021-01-04,3130,25508,19237682
"992","Slovenia",2021-01-07,2821,25442,2078932
"326","Estonia",2021-01-28,690,25415,1326539
"729","Malta",2021-02-03,138,25361,441539
"954","Slovakia",2021-01-10,2973,25326,5459643
"168","Bulgaria",2021-01-27,598,25245,6948445
"736","Mexico",2020-12-30,12406,24998,128932753
"229","Croatia",2021-01-08,1098,24985,4105268
"221","Costa Rica",2021-01-15,945,24804,5094114
"827","Oman",2021-01-16,0,24773,5106622
"828","Oman",2021-01-17,526,24773,5106622
"829","Oman",2021-01-18,221,24773,5106622
"830","Oman",2021-01-19,135,24773,5106622
"831","Oman",2021-01-20,171,24773,5106622
"832","Oman",2021-01-23,0,24773,5106622
"833","Oman",2021-01-24,558,24773,5106622
"834","Oman",2021-01-25,209,24773,5106622
"835","Oman",2021-01-26,154,24773,5106622
"836","Oman",2021-01-27,167,24773,5106622
"728","Malta",2021-02-02,141,24526,441539
"826","Oman",2021-01-14,178,24204,5106622
"197","Chile",2021-01-18,3918,24025,19116209
"427","Germany",2020-12-27,12399,23900,83783945
"727","Malta",2021-02-01,124,23811,441539
"167","Bulgaria",2021-01-26,827,23667,6948445
"675","Lithuania",2021-01-10,1503,23497,2722291
"674","Lithuania",2021-01-09,1764,23494,2722291
"95","Belgium",2021-01-08,2048,23484,11589616
"726","Malta",2021-01-30,136,23391,441539
"785","Norway",2021-01-11,429,23363,5421242
"673","Lithuania",2021-01-08,2058,23190,2722291
"784","Norway",2021-01-10,555,23021,5421242
"783","Norway",2021-01-09,443,22914,5421242
"725","Malta",2021-01-29,185,22853,441539
"782","Norway",2021-01-08,684,22782,5421242
"825","Oman",2021-01-13,142,22749,5106622
"936","Seychelles",2021-01-26,47,22712,98340
"953","Slovakia",2021-01-09,4072,22281,5459643
"251","Czechia",2021-01-05,12921,22268,10708982
"724","Malta",2021-01-28,208,22162,441539
"166","Bulgaria",2021-01-25,772,22129,6948445
"165","Bulgaria",2021-01-24,121,21533,6948445
"164","Bulgaria",2021-01-23,266,21509,6948445
"163","Bulgaria",2021-01-22,566,21496,6948445
"723","Malta",2021-01-27,193,21417,441539
"781","Norway",2021-01-07,825,21169,5421242
"162","Bulgaria",2021-01-21,455,20719,6948445
"722","Malta",2021-01-26,138,20677,441539
"824","Oman",2021-01-12,164,20649,5106622
"477","Greece",2021-01-06,814,20616,10423056
"228","Croatia",2021-01-07,562,20603,4105268
"952","Slovakia",2021-01-08,2980,20548,5459643
"991","Slovenia",2021-01-06,3354,20204,2078932
"20","Austria",2021-01-13,1917,20064,9006400
"935","Seychelles",2021-01-25,36,19889,98340
"161","Bulgaria",2021-01-20,482,19834,6948445
"721","Malta",2021-01-25,203,19709,441539
"241","Cyprus",2021-01-29,119,19617,875899
"160","Bulgaria",2021-01-19,544,19058,6948445
"720","Malta",2021-01-24,116,18783,441539
"735","Mexico",2020-12-29,12099,18529,128932753
"159","Bulgaria",2021-01-18,570,18524,6948445
"158","Bulgaria",2021-01-17,77,18453,6948445
"934","Seychelles",2021-01-23,61,18353,98340
"157","Bulgaria",2021-01-16,233,18332,6948445
"823","Oman",2021-01-11,172,18287,5106622
"156","Bulgaria",2021-01-15,552,18126,6948445
"672","Lithuania",2021-01-07,2409,18020,2722291
"285","Denmark",2020-12-29,2640,17785,5792203
"664","Latvia",2021-02-05,876,17778,1886202
"250","Czechia",2021-01-04,6233,17764,10708982
"155","Bulgaria",2021-01-14,535,17686,6948445
"663","Latvia",2021-02-04,742,17645,1886202
"662","Latvia",2021-02-03,1231,17504,1886202
"661","Latvia",2021-02-02,775,17264,1886202
"660","Latvia",2021-02-01,411,17129,1886202
"659","Latvia",2021-01-30,785,17115,1886202
"658","Latvia",2021-01-29,931,17111,1886202
"397","France",2021-01-06,25232,17064,65273512
"657","Latvia",2021-01-28,965,17057,1886202
"154","Bulgaria",2021-01-13,535,17038,6948445
"656","Latvia",2021-01-27,1103,17027,1886202
"655","Latvia",2021-01-26,693,16946,1886202
"654","Latvia",2021-01-25,223,16916,1886202
"653","Latvia",2021-01-23,910,16897,1886202
"933","Seychelles",2021-01-22,210,16890,98340
"652","Latvia",2021-01-22,876,16772,1886202
"877","Portugal",2020-12-29,3336,16701,10196707
"476","Greece",2021-01-05,927,16631,10423056
"651","Latvia",2021-01-21,902,16576,1886202
"650","Latvia",2021-01-20,1088,16310,1886202
"649","Latvia",2021-01-19,812,16291,1886202
"648","Latvia",2021-01-18,244,16219,1886202
"647","Latvia",2021-01-17,567,15947,1886202
"822","Oman",2021-01-10,538,15907,5106622
"646","Latvia",2021-01-16,1031,15830,1886202
"153","Bulgaria",2021-01-12,750,15780,6948445
"240","Cyprus",2021-01-22,122,15322,875899
"645","Latvia",2021-01-15,1084,15167,1886202
"990","Slovenia",2021-01-05,2512,15102,2078932
"821","Oman",2021-01-09,0,15023,5106622
"820","Oman",2021-01-08,0,14980,5106622
"819","Oman",2021-01-07,182,14911,5106622
"780","Norway",2021-01-06,787,14612,5421242
"94","Belgium",2021-01-07,2923,14340,11589616
"249","Czechia",2021-01-03,5012,14198,10708982
"152","Bulgaria",2021-01-11,620,14161,6948445
"818","Oman",2021-01-06,114,14005,5106622
"671","Lithuania",2021-01-06,2787,13866,2722291
"227","Croatia",2021-01-05,1071,13798,4105268
"196","Chile",2021-01-17,4339,13781,19116209
"195","Chile",2021-01-16,4313,13766,19116209
"194","Chile",2021-01-15,4468,13755,19116209
"1047","Sweden",2021-01-03,0,13705,10099270
"951","Slovakia",2021-01-07,2137,13631,5459643
"894","Romania",2021-01-03,3034,13596,19237682
"593","Italy",2020-12-30,16202,13514,60461828
"151","Bulgaria",2021-01-09,394,13473,6948445
"150","Bulgaria",2021-01-08,753,13355,6948445
"644","Latvia",2021-01-14,950,13299,1886202
"248","Czechia",2021-01-02,3447,13283,10708982
"719","Luxembourg",2021-02-04,202,13256,625976
"893","Romania",2021-01-02,1194,13242,19237682
"19","Austria",2021-01-12,1575,13172,9006400
"932","Seychelles",2021-01-20,16,13163,98340
"193","Chile",2021-01-14,4187,12787,19116209
"817","Oman",2021-01-05,190,12751,5106622
"989","Slovenia",2021-01-04,772,12684,2078932
"528","Iceland",2021-02-05,5,12660,341250
"718","Luxembourg",2021-02-03,205,12597,625976
"226","Croatia",2021-01-03,696,12285,4105268
"527","Iceland",2021-02-03,2,12098,341250
"247","Czechia",2021-01-01,13361,12027,10708982
"717","Luxembourg",2021-02-02,190,11925,625976
"246","Czechia",2020-12-31,17039,11765,10708982
"192","Chile",2021-01-13,3390,11743,19116209
"892","Romania",2021-01-01,3938,11656,19237682
"988","Slovenia",2021-01-03,743,11594,2078932
"18","Austria",2021-01-11,1536,11559,9006400
"643","Latvia",2021-01-13,1255,11480,1886202
"126","Brazil",2021-01-19,62094,11470,212559409
"716","Luxembourg",2021-02-01,345,11336,625976
"149","Bulgaria",2021-01-07,867,11117,6948445
"987","Slovenia",2021-01-02,393,11039,2078932
"931","Seychelles",2021-01-19,0,10976,98340
"715","Luxembourg",2021-01-31,0,10748,625976
"816","Oman",2021-01-04,180,10728,5106622
"526","Iceland",2021-01-27,8,10702,341250
"191","Chile",2021-01-06,2382,10699,19116209
"986","Slovenia",2021-01-01,1798,10636,2078932
"985","Slovenia",2020-12-31,2412,10545,2078932
"190","Chile",2021-01-05,2460,10494,19116209
"245","Czechia",2020-12-30,16420,10461,10708982
"525","Iceland",2021-01-25,9,10433,341250
"670","Lithuania",2021-01-05,1641,10369,2722291
"475","Greece",2021-01-04,427,10327,10423056
"891","Romania",2020-12-31,4322,10289,19237682
"642","Latvia",2021-01-12,878,9973,1886202
"714","Luxembourg",2021-01-28,139,9890,625976
"669","Lithuania",2020-12-31,2468,9747,2722291
"668","Lithuania",2020-12-30,3984,9722,2722291
"734","Mexico",2020-12-28,5996,9579,128932753
"713","Luxembourg",2021-01-27,237,9107,625976
"189","Chile",2021-01-04,2450,9051,19116209
"592","Italy",2020-12-29,11210,8902,60461828
"984","Slovenia",2020-12-30,2435,8895,2078932
"815","Oman",2021-01-03,537,8826,5106622
"178","Canada",2020-12-19,6459,8734,37742157
"284","Denmark",2020-12-28,2482,8654,5792203
"188","Chile",2020-12-27,1711,8646,19116209
"983","Slovenia",2020-12-29,1978,8467,2078932
"641","Latvia",2021-01-11,331,8346,1886202
"187","Chile",2020-12-26,2563,8335,19116209
"712","Luxembourg",2021-01-26,119,8280,625976
"667","Lithuania",2020-12-29,2108,8189,2722291
"591","Italy",2020-12-28,8581,7981,60461828
"148","Bulgaria",2021-01-06,1002,7913,6948445
"225","Croatia",2020-12-30,1850,7864,4105268
"542","Israel",2020-12-20,1874,7371,8655541
"982","Slovenia",2020-12-28,521,7367,2078932
"711","Luxembourg",2021-01-25,295,7309,625976
"814","Oman",2021-01-02,0,7231,5106622
"590","Italy",2020-12-27,8937,7011,60461828
"930","Seychelles",2021-01-16,40,7000,98340
"244","Czechia",2020-12-29,10862,6998,10708982
"640","Latvia",2021-01-10,616,6980,1886202
"710","Luxembourg",2021-01-21,115,6897,625976
"733","Mexico",2020-12-27,6217,6824,128932753
"17","Austria",2021-01-10,1651,6784,9006400
"396","France",2021-01-05,20825,6744,65273512
"283","Denmark",2020-12-27,2188,6648,5792203
"639","Latvia",2021-01-09,1170,6644,1886202
"950","Slovakia",2021-01-06,4959,6618,5459643
"813","Oman",2020-12-31,148,6516,5106622
"638","Latvia",2021-01-08,1237,6339,1886202
"838","Poland",2020-12-29,7624,6300,37846605
"325","Ecuador",2021-02-04,949,6228,17643060
"93","Belgium",2021-01-06,2997,6218,11589616
"944","Singapore",2021-01-12,17,6200,5850343
"709","Luxembourg",2021-01-20,229,6193,625976
"981","Slovenia",2020-12-27,622,5821,2078932
"524","Iceland",2021-01-20,5,5725,341250
"890","Romania",2020-12-30,4875,5666,19237682
"779","Norway",2021-01-05,935,5610,5421242
"147","Bulgaria",2021-01-05,1310,5448,6948445
"637","Latvia",2021-01-07,1374,5434,1886202
"708","Luxembourg",2021-01-19,85,5294,625976
"666","Lithuania",2020-12-28,1794,5203,2722291
"186","Chile",2020-12-25,1679,5191,19116209
"812","Oman",2020-12-30,86,5043,5106622
"523","Iceland",2020-12-30,18,4875,341250
"876","Portugal",2020-12-28,2093,4828,10196707
"146","Bulgaria",2021-01-01,274,4739,6948445
"636","Latvia",2021-01-06,1229,4625,1886202
"145","Bulgaria",2020-12-30,1729,4608,6948445
"707","Luxembourg",2021-01-18,260,4569,625976
"929","Seychelles",2021-01-15,29,4000,98340
"474","Greece",2021-01-03,390,3869,10423056
"635","Latvia",2021-01-05,824,3849,1886202
"706","Luxembourg",2021-01-17,0,3755,625976
"243","Czechia",2020-12-28,3741,3541,10708982
"943","Singapore",2021-01-11,22,3400,5850343
"811","Oman",2020-12-29,70,3363,5106622
"705","Luxembourg",2021-01-14,114,3233,625976
"473","Greece",2021-01-02,262,3149,10423056
"324","Ecuador",2021-01-28,2465,2982,17643060
"634","Latvia",2021-01-04,621,2960,1886202
"732","Mexico",2020-12-24,12485,2924,128932753
"704","Luxembourg",2021-01-13,191,2871,625976
"889","Romania",2020-12-29,4637,2778,19237682
"472","Greece",2021-01-01,597,2603,10423056
"665","Lithuania",2020-12-27,1687,2418,2722291
"703","Luxembourg",2021-01-12,154,2372,625976
"92","Belgium",2021-01-05,1848,2354,11589616
"471","Greece",2020-12-31,932,2339,10423056
"633","Latvia",2020-12-30,1367,2261,1886202
"778","Norway",2021-01-04,529,2177,5421242
"775","Norway",2021-01-01,236,2176,5421242
"776","Norway",2021-01-02,463,2176,5421242
"777","Norway",2021-01-03,450,2176,5421242
"774","Norway",2020-12-31,557,2170,5421242
"773","Norway",2020-12-30,732,2098,5421242
"888","Romania",2020-12-28,2620,2066,19237682
"837","Poland",2020-12-28,3211,2000,37846605
"928","Seychelles",2021-01-13,11,2000,98340
"702","Luxembourg",2021-01-11,283,1943,625976
"395","France",2021-01-04,4084,1800,65273512
"1046","Sweden",2020-12-27,0,1730,10099270
"470","Greece",2020-12-30,942,1722,10423056
"144","Bulgaria",2020-12-29,1438,1719,6948445
"810","Oman",2020-12-28,91,1717,5106622
"772","Norway",2020-12-29,693,1674,5421242
"632","Latvia",2020-12-29,838,1473,1886202
"242","Czechia",2020-12-27,3030,1258,10708982
"701","Luxembourg",2020-12-30,327,1200,625976
"125","Brazil",2021-01-18,23671,1109,212559409
"469","Greece",2020-12-29,1045,1077,10423056
"2","Andorra",2021-02-01,35,1036,77265
"91","Belgium",2021-01-04,876,795,11589616
"90","Belgium",2021-01-01,1793,794,11589616
"89","Belgium",2020-12-31,2254,787,11589616
"88","Belgium",2020-12-30,2831,778,11589616
"771","Norway",2020-12-28,526,606,5421242
"631","Latvia",2020-12-28,508,595,1886202
"1","Andorra",2021-01-25,47,576,77265
"85","Bangladesh",2021-01-28,509,567,164689383
